+------------+-------+---------------------+---------------------+----------+----------+
| userid     | shift | shiftdate           | received            | event_id | position |
| mauree38   | 4     | 2009-09-05 00:00:00 | 2009-09-07 00:00:00 |      200 | E1       |
| mauree38   | 1     | 2009-09-06 00:00:00 | 2009-09-07 00:00:00 |      201 | E1       |
| mauree38   | 2     | 2009-09-06 00:00:00 | 2009-09-07 00:00:00 |      202 | E1       |
| mauree38   | 3     | 2009-09-06 00:00:00 | 2009-09-07 00:00:00 |      203 | E1       |
| mauree38   | 4     | 2009-09-06 00:00:00 | 2009-09-07 00:00:00 |      204 | E1       |
| mauree38   | 1     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      205 | E1       |
| mauree38   | 2     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      206 | E1       |
| mauree38   | 3     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      207 | E1       |
| mauree38   | 4     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      208 | E1       |
| mikee37    | 3     | 2009-09-05 00:00:00 | 2009-09-07 00:00:00 |      209 | D        |
| dave11     | 1     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      210 | D        |
| dave11     | 2     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      211 | D        |
| dave11     | 3     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      212 | D        |
| dave11     | 4     | 2009-09-07 00:00:00 | 2009-09-07 00:00:00 |      213 | D        |
| dave11     | 4     | 2009-09-06 00:00:00 | 2009-09-07 00:00:00 |      214 | D        |
| dave11     | 1     | 2009-09-08 00:00:00 | 2009-09-07 00:00:00 |      215 | D        |
| drew44     | 1     | 2009-09-05 00:00:00 | 2009-09-08 00:00:00 |      216 | E2       |
| drew44     | 2     | 2009-09-05 00:00:00 | 2009-09-08 00:00:00 |      217 | E2       |
| drew44     | 3     | 2009-09-05 00:00:00 | 2009-09-08 00:00:00 |      218 | E2       |
| drew44     | 4     | 2009-09-05 00:00:00 | 2009-09-08 00:00:00 |      219 | E2       |
| drew44     | 1     | 2009-09-06 00:00:00 | 2009-09-08 00:00:00 |      220 | E2       |
| drew44     | 2     | 2009-09-06 00:00:00 | 2009-09-08 00:00:00 |      221 | E2       |
| drew44     | 4     | 2009-09-06 00:00:00 | 2009-09-08 00:00:00 |      222 | E2       |
| drew44     | 1     | 2009-09-07 00:00:00 | 2009-09-08 00:00:00 |      223 | E2       |
